Date,Clicks,Impressions,CTR,Position
2023-12-31,190,8739,2.17%,15.82
2023-12-30,274,38880,0.7%,41.63
2023-12-29,291,37782,0.77%,39.42
2023-12-28,326,41323,0.79%,38.95
2023-12-27,362,43699,0.83%,38.92
2023-12-26,311,41421,0.75%,40.25
2023-12-25,238,37147,0.64%,41.06
2023-12-24,187,35867,0.52%,42.15
2023-12-23,234,37669,0.62%,41.69
2023-12-22,385,40811,0.94%,38.07
2023-12-21,480,45639,1.05%,35.84
2023-12-20,532,49462,1.08%,35.55
2023-12-19,595,53853,1.1%,35.33
2023-12-18,633,54327,1.17%,34.85
2023-12-17,438,45251,0.97%,37.06
2023-12-16,332,43732,0.76%,40.13
2023-12-15,543,48932,1.11%,34.98
2023-12-14,748,58329,1.28%,33.07
2023-12-13,789,58650,1.35%,32.32
2023-12-12,746,59914,1.25%,33
2023-12-11,788,62734,1.26%,33.03
2023-12-10,648,54145,1.2%,33.26
2023-12-09,460,47289,0.97%,35.7
2023-12-08,665,53319,1.25%,31.92
2023-12-07,1054,61709,1.71%,31.74
2023-12-06,968,63929,1.51%,29.98
2023-12-05,931,65428,1.42%,31.14
2023-12-04,914,70317,1.3%,32.59
2023-12-03,792,60908,1.3%,33.49
2023-12-02,565,54058,1.05%,37.65
2023-12-01,822,59091,1.39%,33.77
2023-11-30,1012,64181,1.58%,31.72
2023-11-29,1098,66585,1.65%,30.17
2023-11-28,1040,70457,1.48%,31.56
2023-11-27,1128,72150,1.56%,32.8
2023-11-26,836,61576,1.36%,35.4
2023-11-25,617,57646,1.07%,38.51
2023-11-24,730,65792,1.11%,38.04
2023-11-23,785,73746,1.06%,38.01
2023-11-22,903,76182,1.19%,36.95
2023-11-21,990,73599,1.35%,34.6
2023-11-20,983,76888,1.28%,35.51
2023-11-19,820,69608,1.18%,36.56
2023-11-18,644,64925,0.99%,39.5
2023-11-17,842,69845,1.21%,36.62
2023-11-16,960,78123,1.23%,35.83
2023-11-15,1053,81093,1.3%,34.91
2023-11-14,997,77965,1.28%,34.31
2023-11-13,1001,76480,1.31%,34.79
2023-11-12,778,65473,1.19%,36.47
2023-11-11,543,57911,0.94%,39.25
2023-11-10,740,64034,1.16%,36.8
2023-11-09,960,76580,1.25%,35.89
2023-11-08,962,79145,1.22%,35.46
2023-11-07,923,73253,1.26%,34.63
2023-11-06,957,85785,1.12%,37.14
2023-11-05,773,61615,1.25%,34.82
2023-11-04,541,65361,0.83%,39.89
2023-11-03,769,68748,1.12%,37.02
2023-11-02,917,78474,1.17%,35.88
2023-11-01,1021,72272,1.41%,35.39
2023-10-31,967,64523,1.5%,35.44
